ancestor_concept_code,descendant_concept_code,level_of_separation
OP350,OP350,0
VA000,OP400,2
OP000,OP400,1
OP400,OP400,0
VA000,OP500,2
OP000,OP500,1
OP500,OP500,0
VA000,OP600,2
OP000,OP600,1
OP600,OP600,0
VA000,OP700,2
OP000,OP700,1
OP700,OP700,0
VA000,OP800,2
OP000,OP800,1
OP800,OP800,0
VA000,OP900,2
OP000,OP900,1
OP900,OP900,0
VA000,OR000,1
VA000,OR100,2
OR000,OR000,0
OR000,OR100,1
OR100,OR100,0
VA000,OR200,2
OR000,OR200,1
OR200,OR200,0
VA000,OR300,2
OR000,OR300,1
OR300,OR300,0
VA000,OR400,2
OR000,OR400,1
OR400,OR400,0
VA000,OR500,2
OR000,OR500,1
OR500,OR500,0
VA000,OR900,2
OR000,OR900,1
OR900,OR900,0
VA000,OT000,1
VA000,OT100,2
VA000,OT101,3
OT000,OT000,0
OT000,OT100,1
OT000,OT101,2
OT100,OT100,0
OT100,OT101,1
OT101,OT101,0
VA000,OT102,3
OT000,OT102,2
OT100,OT102,1
OT102,OT102,0
VA000,OT109,3
OT000,OT109,2
OT100,OT109,1
OT109,OT109,0
VA000,OT200,2
OT000,OT200,1
OT200,OT200,0
VA000,OT250,2
OT000,OT250,1
OT250,OT250,0
VA000,OT300,2
OT000,OT300,1
OT300,OT300,0
VA000,OT400,2
OT000,OT400,1
OT400,OT400,0
VA000,OT900,2
OT000,OT900,1
OT900,OT900,0
VA000,PH000,1
PH000,PH000,0
VA000,RE000,1
VA000,RE100,2
VA000,RE101,3
RE000,RE000,0
RE000,RE100,1
RE000,RE101,2
RE100,RE100,0
RE100,RE101,1
RE101,RE101,0
VA000,RE102,3
RE000,RE102,2
RE100,RE102,1
RE102,RE102,0
VA000,RE103,3
RE000,RE103,2
RE100,RE103,1
RE103,RE103,0
VA000,RE104,3
RE000,RE104,2
RE100,RE104,1
RE104,RE104,0
VA000,RE105,3
RE000,RE105,2
RE100,RE105,1
RE105,RE105,0
VA000,RE108,3
RE000,RE108,2
