ancestor_concept_code,descendant_concept_code,level_of_separation
N0000009761,N0000008782,5
N0000008323,N0000008323,0
N0000008323,N0000008449,1
N0000008323,N0000008805,2
N0000008323,N0000008397,3
N0000008323,N0000008782,4
N0000008449,N0000008449,0
N0000008449,N0000008805,1
N0000008449,N0000008397,2
N0000008449,N0000008782,3
N0000008805,N0000008805,0
N0000008805,N0000008397,1
N0000008805,N0000008782,2
N0000008397,N0000008397,0
N0000008397,N0000008782,1
N0000008782,N0000008782,0
N0000009802,N0000008977,8
N0000009770,N0000008977,7
N0000009759,N0000008977,6
N0000009761,N0000008977,5
N0000008323,N0000008977,4
N0000008449,N0000008977,3
N0000008805,N0000008977,2
N0000008397,N0000008977,1
N0000008977,N0000008977,0
N0000009802,N0000008603,7
N0000009770,N0000008603,6
N0000009759,N0000008603,5
N0000009761,N0000008603,4
N0000008323,N0000008603,3
N0000008449,N0000008603,2
N0000008805,N0000008603,1
N0000008603,N0000008603,0
N0000009802,N0000008873,7
N0000009770,N0000008873,6
N0000009759,N0000008873,5
N0000009761,N0000008873,4
N0000008323,N0000008873,3
N0000008449,N0000008873,2
N0000008805,N0000008873,1
N0000008873,N0000008873,0
N0000009802,N0000008485,6
N0000009802,N0000008429,7
N0000009770,N0000008485,5
N0000009770,N0000008429,6
N0000009759,N0000008485,4
N0000009759,N0000008429,5
N0000009761,N0000008485,3
N0000009761,N0000008429,4
N0000008323,N0000008485,2
N0000008323,N0000008429,3
N0000008449,N0000008485,1
N0000008449,N0000008429,2
N0000008485,N0000008485,0
N0000008485,N0000008429,1
N0000008429,N0000008429,0
N0000009802,N0000008508,7
N0000009770,N0000008508,6
N0000009759,N0000008508,5
N0000009761,N0000008508,4
N0000008323,N0000008508,3
N0000008449,N0000008508,2
N0000008485,N0000008508,1
N0000008508,N0000008508,0
N0000009802,N0000008531,7
N0000009770,N0000008531,6
N0000009759,N0000008531,5
N0000009761,N0000008531,4
N0000008323,N0000008531,3
N0000008449,N0000008531,2
N0000008485,N0000008531,1
N0000008531,N0000008531,0
N0000009802,N0000008711,7
N0000009770,N0000008711,6
N0000009759,N0000008711,5
N0000009761,N0000008711,4
N0000008323,N0000008711,3
N0000008449,N0000008711,2
N0000008485,N0000008711,1
N0000008711,N0000008711,0
N0000009802,N0000008929,7
N0000009770,N0000008929,6
N0000009759,N0000008929,5
N0000009761,N0000008929,4
N0000008323,N0000008929,3
N0000008449,N0000008929,2
N0000008485,N0000008929,1
N0000008929,N0000008929,0
N0000009802,N0000008738,6
N0000009802,N0000008456,7
N0000009770,N0000008738,5
N0000009770,N0000008456,6
N0000009759,N0000008738,4
N0000009759,N0000008456,5
N0000009761,N0000008738,3
N0000009761,N0000008456,4
N0000008323,N0000008738,2
N0000008323,N0000008456,3
N0000008449,N0000008738,1
N0000008449,N0000008456,2
N0000008738,N0000008738,0
N0000008738,N0000008456,1
N0000008456,N0000008456,0
N0000009802,N0000008902,7
N0000009770,N0000008902,6
N0000009759,N0000008902,5
N0000009761,N0000008902,4
N0000008323,N0000008902,3
N0000008449,N0000008902,2
N0000008738,N0000008902,1
N0000008902,N0000008902,0
N0000009802,N0000008952,7
N0000009770,N0000008952,6
N0000009759,N0000008952,5
N0000009761,N0000008952,4
N0000008323,N0000008952,3
N0000008449,N0000008952,2
N0000008738,N0000008952,1
N0000008952,N0000008952,0
N0000009802,N0000009145,5
N0000009802,N0000009497,6
N0000009802,N0000009093,7
N0000009802,N0000009474,8
N0000009770,N0000009145,4
N0000009770,N0000009497,5
N0000009770,N0000009093,6
N0000009770,N0000009474,7
N0000009759,N0000009145,3
N0000009759,N0000009497,4
N0000009759,N0000009093,5
N0000009759,N0000009474,6
N0000009761,N0000009145,2
N0000009761,N0000009497,3
N0000009761,N0000009093,4
N0000009761,N0000009474,5
N0000008323,N0000009145,1
N0000008323,N0000009497,2
N0000008323,N0000009093,3
N0000008323,N0000009474,4
N0000009145,N0000009145,0
N0000009145,N0000009497,1
N0000009145,N0000009093,2
N0000009145,N0000009474,3
N0000009497,N0000009497,0
N0000009497,N0000009093,1
N0000009497,N0000009474,2
