concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1546428,EPC,Mapped from,FDASPL,NA,1546428,EPC
17652,EPC,Mapped from,FDASPL,NA,17652,EPC
19831,EPC,Mapped from,FDASPL,NA,19831,EPC
21249,EPC,Mapped from,FDASPL,NA,21249,EPC
22396,EPC,Mapped from,FDASPL,NA,22396,EPC
237027,EPC,Mapped from,FDASPL,NA,237027,EPC
2590,EPC,Mapped from,FDASPL,NA,2590,EPC
2878,EPC,Mapped from,FDASPL,NA,2878,EPC
29439,EPC,Mapped from,FDASPL,NA,29439,EPC
3254,EPC,Mapped from,FDASPL,NA,3254,EPC
3255,EPC,Mapped from,FDASPL,NA,3255,EPC
3264,EPC,Mapped from,FDASPL,NA,3264,EPC
34369,EPC,Mapped from,FDASPL,NA,34369,EPC
41126,EPC,Mapped from,FDASPL,NA,41126,EPC
41208,EPC,Mapped from,FDASPL,NA,41208,EPC
4461,EPC,Mapped from,FDASPL,NA,4461,EPC
4462,EPC,Mapped from,FDASPL,NA,4462,EPC
4491,EPC,Mapped from,FDASPL,NA,4491,EPC
4500,EPC,Mapped from,FDASPL,NA,4500,EPC
